,Particulate Microcystin (µg/L)
117,-0.9598820075125293
118,-0.9598820075125293
119,0.5773222636176948
120,-0.9598820075125293
121,-0.6033568451695094
122,1.679099500639204
123,0.618328356830447
124,-0.5417488780608201
125,1.4426292676924566
126,-0.9598820075125293
127,0.9298672348044731
128,0.33936815545856197
129,1.1552434680622372
130,1.0035426353288264
131,-0.9598820075125293
132,1.4196577105122286
133,-0.9598820075125293
134,0.7295730749023354
135,-0.36580050494927097
136,0.59730275519132
137,-0.9598820075125293
138,-0.36580050494927097
139,1.8106315205891879
140,-0.30476480140648377
141,0.956355751684855
142,-0.8978010242751319
143,-0.7135392567664341
144,1.8845871167326829
145,-0.7899486196290219
146,1.6942868230179524
147,-0.9598820075125293
148,0.965773356527508
149,-0.9598820075125293
150,-0.9598820075125293
151,-0.9598820075125293
152,1.436638951574175
153,-0.9598820075125293
154,-0.9598820075125293
155,0.9716867438930045
156,-0.9598820075125293
157,0.3828005056678686
158,0.28027150804444745
159,-0.9598820075125293
160,-0.880476681655643
161,-0.7717079281571113
162,-0.649609272678646
163,1.9094123310594697
164,-0.9598820075125293
165,0.2823707518172955
166,-0.9598820075125293
167,-0.7322984619633202
168,-0.9598820075125293
169,0.176258766106212
170,-0.21329407669096775
171,-0.9598820075125293
172,1.9136818297236728
173,1.103771701037554
174,-0.36580050494927097
175,-0.36580050494927097
176,-0.9598820075125293
177,-0.9598820075125293
178,1.261636484244639
179,-0.8497414483136773
180,1.753068912193763
181,-0.9598820075125293
182,-0.36580050494927097
183,1.5907095869324057
184,-0.9598820075125293
185,-0.36580050494927097
186,0.7146741230507498
187,-0.9598820075125293
188,0.49517181438538005
189,0.8809734516977296
190,-0.36580050494927097
191,0.4060721811281855
192,0.23676977961919654
193,-0.9598820075125293
194,-0.36580050494927097
195,1.7929037147701536
196,-0.28541061269957674
197,-0.919711770555504
198,-0.9598820075125293
199,0.6693867356674279
200,-0.36580050494927097
201,1.7921141041789912
202,-0.9598820075125293
203,-0.9598820075125293
204,0.10641710511275704
205,-0.4960088357407361
206,0.04498391775799443
207,-0.8202132644344404
208,1.572576560231765
209,-0.9598820075125293
210,1.3919156691916357
211,-0.9223603491778559
212,-0.7135392567664341
213,-0.9598820075125293
214,-0.9598820075125293
215,-0.9598820075125293
216,-0.9598820075125293
217,-0.9598820075125293
218,-0.6033568451695094
219,0.9040293715712293
220,-0.9598820075125293
221,-0.9598820075125293
222,-0.014467178921217143
223,-0.5007204805148093
224,-0.36580050494927097
225,-0.9598820075125293
226,-0.9598820075125293
227,1.6350522652207446
228,-0.5197226684239968
229,1.15406716769971
230,1.459125491851186
231,0.2482325336719722
232,-0.9598820075125293
233,0.698178204627304
234,-0.7465160786428124
235,1.819232550282295
236,-0.9598820075125293
237,0.16218333482592445
238,0.8171847646258572
239,-0.9598820075125293
240,-0.8766034245199209
241,-0.9598820075125293
242,-0.7465160786428117
243,-0.9598820075125293
244,0.5356884030833404
245,-0.9598820075125293
246,1.2209999605830542
247,1.385692946298744
248,-0.9598820075125293
249,-0.9598820075125293
250,1.9001163336829416
251,-0.8497414483136773
252,-0.8145955357803185
253,-0.9598820075125293
254,0.9873073218960082
255,1.586852283118937
256,-0.9598820075125293
257,-0.9598820075125293
258,1.5991460899199885
259,-0.8695971901379866
