Date,Site_WE12,Site_WE13,Site_WE14,Site_WE15,Site_WE16,Site_WE2,Site_WE4,Site_WE6,Site_WE8,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,CTD Temperature (°C),CTD Dissolved Oxygen (mg/L),Particulate Microcystin (µg/L),Total Phosphorus (µg P/L),Total Dissolved Phosphorus (µg P/L),Ammonia (µg N/L),Nitrate + Nitrite (mg N/L),N:P Mass Ratio,Distance from Maumee Inlet (km),Shore Distance (euc dis),CTD Temperature (°C)_1wk,CTD Temperature (°C)_2wks,CTD Temperature (°C)_4wks,CTD Temperature (°C)_6wks,CTD Dissolved Oxygen (mg/L)_1wk,CTD Dissolved Oxygen (mg/L)_2wks,CTD Dissolved Oxygen (mg/L)_4wks,CTD Dissolved Oxygen (mg/L)_6wks,Total Dissolved Phosphorus (µg P/L)_1wk,Total Dissolved Phosphorus (µg P/L)_2wks,Total Dissolved Phosphorus (µg P/L)_4wks,Total Dissolved Phosphorus (µg P/L)_6wks,Ammonia (µg N/L)_1wk,Ammonia (µg N/L)_2wks,Ammonia (µg N/L)_4wks,Ammonia (µg N/L)_6wks,Nitrate + Nitrite (mg N/L)_1wk,Nitrate + Nitrite (mg N/L)_2wks,Nitrate + Nitrite (mg N/L)_4wks,Nitrate + Nitrite (mg N/L)_6wks,N:P Mass Ratio_1wk,N:P Mass Ratio_2wks,N:P Mass Ratio_4wks,N:P Mass Ratio_6wks
2019-10-02,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,18.853846153846153,7.076923076923077,0.1,12.558461538461538,3.9515384615384614,20.14769230769231,0.2576923076923077,20.798448450285747,26.813533600388883,0.1286370455743065,21.16923076923077,21.125,22.2,24.22,6.484615384615385,6.25,6.683333333333333,6.08,2.0076923076923077,0.815,5.2283333333333335,1.8713333333333333,13.088461538461539,134.615,6.768333333333333,14.077333333333334,0.2754615384615385,1.0190000000000001,0.22200000000000006,0.13753333333333334,24.357408918539743,103.7010575499664,17.3590430650983,10.51765014310648
2019-10-03,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,18.52307692307692,7.161538461538462,0.1,12.73076923076923,4.229230769230769,21.15615384615385,0.2551538461538462,20.29002552624946,26.810231396923058,0.12853161763025048,20.838461538461537,21.1875,22.0,24.08,6.56923076923077,6.275,6.766666666666667,6.12,2.2853846153846153,0.9675,4.546666666666667,2.1820000000000004,14.096923076923076,114.19250000000001,9.226666666666667,13.326,0.27292307692307693,0.8955,0.4330000000000001,0.1278,23.848985994503458,90.56185326540134,34.5172829173452,9.724046533086858
2019-10-04,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,18.192307692307693,7.246153846153846,0.1,12.903076923076924,4.506923076923076,22.164615384615388,0.25261538461538463,19.781602602213177,26.80692919345723,0.1284261896861945,20.507692307692306,21.25,21.799999999999997,23.94,6.653846153846154,6.300000000000001,6.85,6.16,2.563076923076923,1.12,3.865,2.4926666666666666,15.105384615384615,93.77000000000001,11.684999999999999,12.574666666666667,0.2703846153846154,0.772,0.6440000000000001,0.11806666666666667,23.340563070467173,77.42264898083627,51.6755227695921,8.930442923067236
2019-10-05,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,17.861538461538462,7.330769230769231,0.1,13.075384615384616,4.7846153846153845,23.173076923076923,0.2500769230769231,19.27317967817689,26.803626989991404,0.12832076174213847,20.176923076923078,21.3125,21.599999999999998,23.8,6.7384615384615385,6.325,6.933333333333333,6.2,2.8407692307692307,1.2725,3.1833333333333336,2.8033333333333337,16.113846153846154,73.34750000000001,14.143333333333334,11.823333333333334,0.26784615384615384,0.6485000000000001,0.8550000000000002,0.10833333333333334,22.832140146430888,64.2834446962712,68.833762621839,8.136839313047616
2019-10-06,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,17.53076923076923,7.415384615384616,0.1,13.247692307692308,5.062307692307693,24.181538461538462,0.24753846153846154,18.764756754140606,26.80032478652558,0.12821533379808248,19.846153846153847,21.375,21.4,23.66,6.823076923076924,6.3500000000000005,7.016666666666667,6.24,3.1184615384615384,1.425,2.501666666666667,3.1140000000000003,17.122307692307693,52.92500000000001,16.601666666666667,11.072,0.2653076923076923,0.525,1.066,0.0986,22.323717222394603,51.14424041170615,85.9920024740859,7.343235703027995
2019-10-07,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,17.2,7.5,0.1,13.42,5.34,25.19,0.245,18.25633383010432,26.797022583059753,0.12810990585402646,19.515384615384615,21.4375,21.2,23.52,6.907692307692308,6.375,7.1,6.279999999999999,3.396153846153846,1.5775,1.82,3.424666666666667,18.130769230769232,32.502500000000026,19.06,10.320666666666668,0.26276923076923075,0.40149999999999997,1.2770000000000001,0.08886666666666666,21.815294298358317,38.005036127141096,103.1502423263328,6.549632093008373
2012-05-15,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,22.5,7.651666666666666,0.1,22.52,9.66,35.7,0.515,22.868561278863233,6.748593441788994,0.015698916879365227,22.52857142857143,22.571428571428573,22.52857142857143,22.2,7.678750000000001,7.6979999999999995,7.7299999999999995,7.828571428571428,9.66,9.66,9.66,9.66,35.7,35.7,35.7,35.7,0.515,0.515,0.515,0.515,22.868561278863233,22.868561278863233,22.868561278863233,22.868561278863233
2012-05-16,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,22.5,7.651666666666666,0.1,25.93,10.37125,34.7075,0.5985625,22.940962758353066,6.743889404829666,0.015627548121476147,22.52857142857143,22.571428571428573,22.52857142857143,22.2,7.678750000000001,7.6979999999999995,7.7299999999999995,7.828571428571428,9.66,9.66,9.66,9.66,35.7,35.7,35.7,35.7,0.515,0.515,0.515,0.515,22.868561278863233,22.868561278863233,22.868561278863233,22.868561278863233
2012-05-17,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,22.5,7.651666666666666,0.1,29.34,11.0825,33.715,0.682125,23.0133642378429,6.739185367870338,0.01555617936358707,22.52857142857143,22.571428571428573,22.52857142857143,22.2,7.678750000000001,7.6979999999999995,7.7299999999999995,7.828571428571428,9.66,9.66,9.66,9.66,35.7,35.7,35.7,35.7,0.515,0.515,0.515,0.515,22.868561278863233,22.868561278863233,22.868561278863233,22.868561278863233
2012-05-18,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,22.5,7.651666666666666,0.1,32.75,11.79375,32.722500000000004,0.7656875,23.085765717332734,6.734481330911009,0.015484810605697992,22.52857142857143,22.571428571428573,22.52857142857143,22.2,7.678750000000001,7.6979999999999995,7.7299999999999995,7.828571428571428,9.66,9.66,9.66,9.66,35.7,35.7,35.7,35.7,0.515,0.515,0.515,0.515,22.868561278863233,22.868561278863233,22.868561278863233,22.868561278863233
