,Particulate Microcystin (µg/L)
256,-0.7267389361467533
257,-0.3838671873928667
258,-0.9641029890013384
259,1.511755557314385
260,0.3703895716448547
261,-0.13993868818614402
262,0.6114369529579972
263,1.3740493742165147
264,1.5773520542780488
265,1.8699523876948925
266,-0.9641029890013384
267,-0.9641029890013384
268,-0.9641029890013384
269,-0.9641029890013384
270,-0.7267389361467533
271,-0.9641029890013384
272,-0.9641029890013384
273,-0.9641029890013384
274,-0.9641029890013384
275,-0.9641029890013384
276,1.5844782689359105
277,-0.3838671873928667
278,-0.9641029890013384
279,1.7971746516400042
280,0.6687037761361035
281,-0.48188187024197165
282,-0.9641029890013384
283,1.0920265881915079
284,0.008157251078931801
285,-0.9641029890013384
286,-0.9156123234890999
287,-0.7780380364113723
288,1.0376617241530082
289,-0.7673220027656054
290,-0.5425647286662754
291,-0.9641029890013384
292,1.2358030730305847
293,0.9133795291829975
294,0.9920801636358586
295,-0.9641029890013384
296,1.1795826408688537
297,1.4137934042283886
298,-0.40275622756569696
299,1.4127280827626207
300,-0.4146937905817465
301,1.086405579367174
302,-0.14845577268118632
303,1.8266719073643745
304,0.1426325887970663
305,-0.8840389478654426
306,-0.36894010314510667
307,-0.9641029890013384
308,1.220582852131255
309,0.008844007591926386
310,-0.13795979150402762
311,0.19021099351725015
312,1.178396653418143
313,1.7132026455644553
314,-0.9641029890013384
315,0.157132872691927
316,1.9103833434675792
317,1.497531873935288
318,-0.3838671873928667
319,-0.060861721533221405
320,-0.6285041710263655
321,-0.9641029890013384
322,0.8306080989539165
323,-0.3838671873928667
324,1.7834181078900742
325,-0.1531448396413278
326,-0.8684724570781589
327,0.501971809763798
328,-0.9641029890013384
329,-0.9641029890013384
330,0.9112421291013323
331,-0.40465937050091194
332,-0.3838671873928667
333,-0.482308600835953
334,-0.9641029890013384
335,-0.9641029890013384
336,-0.9641029890013384
337,1.4947333844144552
338,-0.6512880536280876
339,1.8406807460003602
340,1.22679728267483
341,-0.9641029890013384
342,1.8910815660084255
343,1.0812491068205023
344,0.5908935381055337
345,0.8421398991791749
346,1.0384247688277488
347,0.47785264258609417
348,0.7971242900603134
349,1.294388564655803
350,-0.9641029890013384
351,1.8925553816792218
352,-0.9641029890013384
353,-0.8892601609838148
354,-0.5093884401291494
355,-0.9641029890013384
356,1.5774144265359265
357,-0.9641029890013384
358,-0.2534173720082967
359,0.436692640405612
360,0.28136958467899376
361,-0.8014205610219487
362,-0.30684795510864915
363,1.243789420212379
