,Site,Site ID,Site Type,Collect Date,Collection Time,Sample ID,Parameter,Result,Units,Qual.*,Program,Lab,Lat,Long,Saturation
844,Lake Erie @ City of Huron WTP Intake,303466,Lake Site,2019-07-01,11:37,19070102-10,Microcystins,0.326,ug/L,,DSW-NWDO,DES,41.405567,-82.55703299999999,False
845,Lake Erie @ City of Sandusky WTP Intake,303465,Lake Site,2019-07-01,11:04,19070102-09,Microcystins,0.0,ug/L,,DSW-NWDO,DES,41.459683,-82.64156700000001,False
846,Lake Erie @ City of Vermilion WTP Intake,303467,Lake Site,2019-07-01,10:19,19070102-11,Microcystins,0.0,ug/L,,DSW-NWDO,DES,41.428333,-82.365033,False
847,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2019-06-30,00:00,2217968,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
848,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2019-06-30,00:00,2217967,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
849,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2019-06-23,00:00,2211992,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
850,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2019-06-23,00:00,2211991,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
851,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2019-06-17,00:00,2208529,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
852,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2019-06-17,00:00,2208528,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
853,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2019-06-09,00:00,2203514,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
854,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2019-06-09,00:00,2203515,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
855,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2019-06-03,00:00,2198593,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
856,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2019-06-03,00:00,2198592,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
857,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2019-05-27,00:00,2198340,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
858,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2019-05-27,00:00,2198339,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
859,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2019-05-19,00:00,2192484,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
860,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2019-05-19,00:00,2192483,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
861,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2019-05-12,00:00,2188675,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
862,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2019-05-12,00:00,2188676,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
863,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2019-05-05,00:00,2185311,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
864,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2019-05-05,00:00,2185312,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
865,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2019-04-28,00:00,2182498,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
866,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2019-04-13,00:00,2176111,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
867,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2019-03-31,00:00,2168703,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
868,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2019-03-17,00:00,2161853,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
869,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2019-03-04,00:00,2153778,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
870,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2019-02-21,00:00,2148275,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
871,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2019-02-03,00:00,2139912,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
872,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2019-01-21,00:00,2134012,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
873,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2019-01-06,00:00,2126580,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
874,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2018-12-25,00:00,2121629,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
875,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2018-12-10,00:00,2115433,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
876,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2018-11-26,00:00,2107254,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
877,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2018-11-12,00:00,2103289,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
878,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2018-10-29,00:00,2094113,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
879,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2018-10-29,00:00,2094112,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
880,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2018-10-22,00:00,2091715,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
881,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2018-10-22,00:00,2091714,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
882,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2018-10-15,00:00,2088747,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
883,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2018-10-15,00:00,2088746,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
884,Lake Erie Utilities WTP,6262096-EP002,PWS Finished Water Site,2018-10-08,00:00,2102893,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
885,LAKE ERIE UTILITIES CO 2-TP-LT2001-Raw,6262096-LT2001,PWS Plant Intake Site,2018-10-08,00:00,2102892,Microcystins,0.0,ug/L,,,OSU STONE LABORATORY,41.689305,-82.817555,False
