timestamp,wind_speed_max,wind_speed_max_flags,wind_speed_mean,wind_speed_mean_flags,wind_direction_mean,wind_direction_mean_flags,air_temp,air_temp_flags,barometric_pressure,barometric_pressure_flags,water_temperature,water_temperature_flags,specific_conductivity,specific_conductivity_flags,depth,depth_flags,turbidity,turbidity_flags,chlorophylla,chlorophylla_flags,turbidity_c6,turbidity_c6_flags,phycoerythrin_c6,phycoerythrin_c6_flags,phycocyanin_c6,phycocyanin_c6_flags,chlorophylla_c6,chlorophylla_c6_flags,colored_dissolved_organic_matter_c6,colored_dissolved_organic_matter_c6_flags,depth_c6,depth_c6_flags,water_temperature_c6,water_temperature_c6_flags
UTC,meters per second,NAN,meters per second,NAN,degrees,NAN,degrees Celsius,NAN,mbar,NAN,degrees Celsius,NAN,millisiemens per centimeter,NAN,meters,NAN,NTU,NAN,RFU,NAN,NTU,NAN,RFU,NAN,RFU,NAN,RFU,NAN,ppb,NAN,meter,NAN,degrees Celsius,NAN
data logger,Airmar WS-200WX,NAN,Airmar WS-200WX,NAN,Airmar WS-200WX,NAN,Airmar WS-200WX,NAN,Airmar WS-200WX,NAN,YSI 6600v2,NAN,YSI 6600v2,NAN,YSI 6600v2,NAN,YSI 6600v2,NAN,YSI 6600v2,NAN,Turner C-6,NAN,Turner C-6,NAN,Turner C-6,NAN,Turner C-6,NAN,Turner C-6,NAN,Turner C-6,NAN,Turner C-6,NAN
7/22/2014 5:31,7,1 1 1 1,5.312,1 1 1 1,115,1 2 1 2,24.56,1 1 1 1,998.561,1 1 1 1,24.58,1 1 1 1,309.9,1 1 1 1,0.92,1 1 1 1,-7.993,4 3 1 1,1.333,1 1 1 4,3.76,1 1 1 1,199.44,1 1 1 1,29.72,1 1 1 1,390.12,1 1 1 1,508,1 1 1 1,0.62,1 2 2 2,24.96,1 2 2 2
7/22/2014 5:46,6.6,1 1 1 1,5.127,1 1 1 1,114.6,1 2 1 2,24.49,1 1 1 1,998.62,1 1 1 1,24.56,1 1 1 1,310,1 1 1 1,0.921,1 1 1 1,-7.761,4 3 1 1,1.264,1 1 1 1,2.54,1 1 1 1,192.76,1 1 1 1,24.08,1 1 1 1,346.44,1 1 1 1,508.8,1 1 1 1,0.62,1 2 2 2,24.94,1 2 2 2
7/22/2014 6:01,6.3,1 1 1 1,4.791,1 1 1 1,118.7,1 2 1 2,24.43,1 1 3 1,998.7077,1 1 1 1,24.54,1 1 1 1,310,1 1 1 1,0.922,1 1 1 1,-7.882,4 3 1 1,1.144,1 1 1 1,2.31,1 1 1 1,213.44,1 1 1 1,25.48,1 1 1 1,373.6,1 1 1 1,509.2,1 1 1 1,0.62,1 2 2 2,24.92,1 2 2 2
7/22/2014 6:16,6.9,1 1 1 1,4.961,1 1 1 1,123.7,1 2 1 2,24.43,1 1 3 1,998.8799,1 1 1 1,24.52,1 1 1 1,309.9,1 1 1 1,0.927,1 1 1 1,-7.851,4 3 1 1,1.233,1 1 1 1,2.94,1 1 1 1,233.28,1 1 1 1,23.92,1 1 1 1,339.88,1 1 1 1,516,1 1 1 1,0.62,1 2 2 2,24.9,1 2 2 2
7/22/2014 6:31,6,1 1 1 1,4.829,1 1 1 1,121.4,1 2 1 2,24.46,1 1 4 1,998.89,1 1 3 1,24.5,1 1 1 1,309.9,1 1 1 1,0.925,1 1 1 1,-7.919,4 3 1 1,2.14,1 1 1 1,3.89,1 1 1 1,219.56,1 1 1 1,23.4,1 1 1 1,375.08,1 1 1 1,516.8,1 1 1 1,0.55,1 2 2 2,24.88,1 2 2 2
7/22/2014 6:46,6.4,1 1 1 1,4.566,1 1 1 1,121.8,1 2 1 2,24.44,1 1 4 1,998.8566,1 1 3 1,24.49,1 1 1 1,309.9,1 1 1 1,0.925,1 1 1 1,-7.662,4 3 1 1,13.08,1 3 1 4,3.71,1 1 1 1,179.04,1 1 1 1,33.68,1 1 1 1,342.88,1 1 1 1,514.4,1 1 1 1,0.55,1 2 2 2,24.89,1 2 2 2
7/22/2014 7:01,5.5,1 1 1 1,3.9,1 1 1 1,124.4,1 2 1 2,24.5,1 1 4 1,998.8477,1 1 3 1,24.49,1 1 1 1,310,1 1 1 1,0.926,1 1 1 1,-7.988,4 3 1 1,1.626,1 1 1 4,2.32,1 1 1 1,249.2,1 1 1 1,19.64,1 1 1 1,356.08,1 1 1 1,519.2,1 1 1 1,0.62,1 2 2 2,24.87,1 2 2 2
7/22/2014 7:16,5.4,1 1 1 1,4.254,1 1 1 1,127.9,1 2 1 2,24.49,1 1 4 1,998.6766,1 1 1 1,24.48,1 1 1 1,310.2,1 1 1 1,0.923,1 1 1 1,-8.02,4 3 1 1,45.6,1 3 1 4,2.91,1 1 1 1,185.44,1 1 1 1,40.92,1 1 1 1,374.68,1 1 1 1,515.2,1 1 1 1,0.69,1 2 2 2,24.86,1 2 2 2
7/22/2014 7:31,5.3,1 1 1 1,4.18,1 1 1 1,125.7,1 2 1 2,24.47,1 1 4 1,998.5677,1 1 1 1,24.47,1 1 1 1,309.9,1 1 1 1,0.922,1 1 1 1,-7.984,4 3 1 1,2.311,1 1 1 4,2.75,1 1 1 1,195.36,1 1 1 1,26.68,1 1 1 1,306.96,1 1 1 1,516,1 1 1 1,0.55,1 2 2 2,24.87,1 2 2 2
7/22/2014 7:46,5.1,1 1 1 1,3.859,1 1 1 1,129,1 2 1 2,24.48,1 1 4 1,998.53,1 1 3 1,24.47,1 1 1 1,310,1 1 1 1,0.923,1 1 1 1,-8,4 3 1 1,13.2,1 3 1 4,3.07,1 1 1 1,356.08,1 1 1 1,21.04,1 1 1 1,303.2,1 1 1 1,520.4,1 1 1 1,0.69,1 2 2 2,24.87,1 2 2 2
